date_id,month,year,yyyymm
50001,2,2021,202102
50002,1,2021,202101
50003,12,2020,202012
50004,11,2020,202011
50005,10,2020,202010
50006,9,2020,202009
50007,8,2020,202008
50008,7,2020,202007
50009,6,2020,202006
50010,5,2020,202005
50011,4,2020,202004
50012,3,2020,202003
50013,2,2020,202002
50014,1,2020,202001
50015,12,2019,201912
50016,11,2019,201911
50017,10,2019,201910
50018,9,2019,201909
50019,8,2019,201908
50020,7,2019,201907
50021,6,2019,201906
50022,5,2019,201905
50023,4,2019,201904
50024,3,2019,201903
50025,2,2019,201902
50026,1,2019,201901
50027,12,2018,201812
50028,11,2018,201811
50029,10,2018,201810
50030,9,2018,201809
50031,8,2018,201808
50032,7,2018,201807
50033,6,2018,201806
50034,5,2018,201805
50035,4,2018,201804
50036,3,2018,201803
50037,2,2018,201802
50038,1,2018,201801
50039,12,2017,201712
50040,11,2017,201711
50041,10,2017,201710
50042,9,2017,201709
50043,8,2017,201708
50044,7,2017,201707
50045,6,2017,201706
50046,5,2017,201705
50047,4,2017,201704
50048,3,2017,201703
50049,2,2017,201702
50050,1,2017,201701
50051,12,2016,201612
50052,11,2016,201611
50053,10,2016,201610
50054,9,2016,201609
50055,8,2016,201608
50056,7,2016,201607
